file_id,page_number,page_type,page_title,row_index,row_type,date_raw,description,amount_pounds,amount_shillings,amount_pence_whole,amount_pence_fraction,is_total_row,group_brace_id,transaction_type,num_col_1,num_col_2,num_col_3,num_col_4,num_col_5,num_col_6,confidence_score,entry_confidence,notes,desc_length
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,1,title,,General Account I,,,,,False,,,,,,,,,0.85,model,,17
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,2,section_header,,A External Receipts,,,,,False,,,,,,,,,0.85,model,,19
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,3,entry,,Lands let at Rackrent,2923.0,3.0,10,,False,,,,,,,,,1.0,model,,21
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,4,entry,,Lands let on Beneficial Lease,,,,,False,,,,,,,,,0.7,model,,29
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,5,entry,,Houses let at Rackrent,1.0,11.0,10,,False,,,,,,,,,1.0,model,,22
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,6,entry,,Houses let on Beneficial Lease,,,,,False,,,,,,,,,0.7,model,,30
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,7,entry,,Houses Tithe of Houses let on Lease,113.0,,,,False,,,,,,,,,1.0,model,,35
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,8,entry,,Fine & Forfeiture Loans,,,,,False,,,,,,,,,0.7,model,,23
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,9,entry,,Copyholds for Tithe,,,,,False,,,,,,,,,0.7,model,,19
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,10,entry,,Copyholds of Inheritance,,,,,False,,,,,,,,,0.7,model,,24
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,11,entry,,Leaseholds held by the College,,2.0,15,,False,,,,,,,,,0.85,model,,30
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,12,entry,,Tithe Rentcharge,710.0,9.0,6,,False,,,,,,,,,1.0,model,,16
1889,1,ledger,Exeter College Abstract of Receipts and Payments for the Year ending December 31st 1867,13,entry,,"Quitrents, &c.",22.0,8.0,6,,False,,,,,,,,,1.0,model,,14
